location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,1.9,5.0,-1.8,曇後一時晴,晴後霧
福井市,2,1.3,7.0,-2.9,曇時々晴一時霧,曇後時々晴一時雨
福井市,3,1.9,4.8,0.1,曇時々雨一時みぞれ,雪時々曇一時みぞれ、あられを伴う
福井市,4,1.3,3.9,0.1,雪時々曇一時晴、雷・あられを伴う,雪時々曇、あられを伴う
福井市,5,-0.3,1.4,-1.9,大雪、あられを伴う,大雪一時晴、雷・あられを伴う
福井市,6,-1.7,0.9,-3.4,大雪、雷を伴う,雪、雷・あられを伴う
福井市,7,-1.2,1.2,-4.3,雪、雷・あられを伴う,雪時々曇
福井市,8,-1.1,1.6,-5.1,雪時々曇,曇時々雪一時晴、霧を伴う
福井市,9,1.1,5.4,-1.5,晴後一時薄曇,曇一時晴
福井市,10,2.3,4.9,-0.6,雨一時曇,雨、あられを伴う
福井市,11,1.2,4.8,-1.5,みぞれ後雪時々曇、あられを伴う,雪、あられを伴う
福井市,12,0.1,1.7,-2.2,雪時々曇、あられを伴う,雪、雷・あられを伴う
福井市,13,0.5,2.8,-1.2,雪一時曇、あられを伴う,雪時々曇一時晴、あられを伴う
福井市,14,2.8,7.3,-1.1,晴後一時薄曇,曇後雨
福井市,15,3.0,6.1,-1.1,曇時々雨,曇時々晴、霧を伴う
福井市,16,1.9,7.0,-2.6,薄曇一時霧,曇一時晴後みぞれ、あられを伴う
福井市,17,1.6,5.7,-0.7,みぞれ後雪、雷・あられを伴う,曇時々雪
福井市,18,0.5,4.4,-2.1,曇時々雪後時々晴,晴一時薄曇
福井市,19,1.7,7.3,-2.9,曇時々晴,曇後晴
福井市,20,3.1,8.7,-0.6,晴後曇時々雨,曇、霧を伴う
福井市,21,1.6,4.0,-0.5,みぞれ時々曇後一時晴,曇時々みぞれ一時晴
福井市,22,2.4,6.8,-1.1,晴時々薄曇,曇後時々雪
福井市,23,2.7,7.3,0.0,曇一時雪後晴時々雨,晴
福井市,24,2.1,4.6,-1.3,曇時々晴一時みぞれ後雨,曇一時雨
福井市,25,2.5,8.1,-2.1,薄曇,曇
福井市,26,3.5,9.8,-1.2,快晴,晴一時曇
福井市,27,4.5,11.7,-1.6,晴,晴後曇一時雨
福井市,28,5.9,11.2,1.3,曇,雨時々曇
